"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2016-01-10 21:11:08.867Z",  51897796, 868200000,0, 6,"CRC_BAD",250,"LORA",125000,"SF7"   ,"2/3",-115,-12.0,"9C2B9C76-570B35DA-6D2901AF-F373145E-2C47D074-8241C1E2-A7CACD11-9A267360-BDE43832-B36E9089-AFD4179B-237F95FE-D31DB560-9F205FF1-C127D31B-9E56B789-08E69C30-05064300-4CDA620D-C4EAD881-3D50F25C-4386A476-9A5657AA-BBA82DD3-A3E6E488-6A358725-EFDCBFCD-050BD0BF-5EF0F4DC-FF18EA1C-CE94A35E-72435B2D-647E293B-B430D6BA-C6C573E8-2C81D448-4E735276-4B78957A-C1CEDED3-B736EC98-E2E7107D-91767DEE-9D965DDA-02632459-555CC4B9-77F9EFB7-94C64A0F-174B62AF-CEAD80B0-9C6BFB1A-A6F1DD26-88CC3708-6565B749-83EAA797-0E5078D3-A6C9ACAC-618A29AD-7827C736-D95A3B3F-927D6A14-E0A13087-C235A284-6E7F"
"AA555A0000000101","","2016-01-10 21:11:37.581Z",  80612915, 867600000,0, 3,"CRC_BAD",106,"LORA",125000,"SF7"   ,"4/7",-114,-11.2,"39B92833-5FE4D2FD-6339390D-C112FECE-66336370-67CCA2B1-E410C26A-FB1BB68F-E14AF247-D7CE682E-30B2F53F-F11DADA0-629185C5-1D0319AE-5D68C853-24675AD9-CD0D5973-29C87918-E3EB5AF7-587CAC70-5DD13FC3-69B85917-177AB527-D4B65853-00A04102-935DB5DB-3074"
"AA555A0000000101","","2016-01-10 21:11:43.829Z",  86862199, 868300000,1, 8,"CRC_BAD",157,"LORA",250000,"SF7"   ,"1/2",-112,-11.8,"08D9AB89-5A060B10-76D837A9-7C92A6A1-C5CC307E-ADE5BFB2-7ED9D695-FCFF21B9-8BA1649A-69FBC5D4-B5D1BBD5-B403F95D-391870AE-33002631-9BFF93A2-EF717296-47A02C1D-B1BBBD34-8B090570-A8D8F007-AEF3BD79-FBC236DC-013BA777-3FB8BE78-A926BEB0-743EC201-27A62739-EBF76281-5AB472FF-221F72C8-F905022E-AD8AE356-F9644BCA-CA9F5E06-D06AB47C-5EEE1749-97B7F0D4-B4DE76DA-00124A3E-56"
"AA555A0000000101","","2016-01-10 21:12:08.476Z", 111504619, 868500000,1, 2,"CRC_BAD",116,"LORA",125000,"SF7"   ,"2/3",-111,-11.2,"5CA41F9D-9AF180AA-C39E1288-08164638-68BB1A24-69C359C7-D2892B19-C3D568B5-0989D2EE-37E309BB-758FC4D1-EAB8CCD7-FBB76208-092951C5-69AC9353-BFBF6E7A-20D571DA-72C96A5B-B18DFEBD-3D0AEFB2-F4D6D2A2-8195131A-0CEE73AC-2F4DFD6C-96AB2DEA-5E1527F8-7E31AD43-3C53DEC7-49A6B412"
"AA555A0000000101","","2016-01-10 21:12:44.784Z", 147815964, 868200000,0, 6,"CRC_BAD", 16,"LORA",125000,"SF7"   ,"4/5",-83, -5.5,"E0C7EBCD-C88C0001-926B2460-59AB3ECA"
"AA555A0000000101","","2016-01-10 21:13:27.838Z", 190865548, 868200000,0, 6,"CRC_BAD", 16,"LORA",125000,"SF7"   ,"4/5",-79, -4.5,"D053E9CD-FB800A00-0223B403-D5AB3BCF"
"AA555A0000000101","","2016-01-10 21:13:49.969Z", 212997211, 868300000,1, 1,"CRC_OK" , 16,"LORA",125000,"SF7"   ,"4/5",-36, +8.8,"4001EFCD-AB000000-04EBB460-90AB0ECF"
"AA555A0000000101","","2016-01-10 21:14:05.922Z", 228948244, 868000000,0, 5,"CRC_BAD",166,"LORA",125000,"SF7"   ,""   ,-113,-12.0,"CE3525E7-195192AA-65FDE822-4C5A7F47-33BB1DCE-4C0C4BE0-019AD4C1-D07FC121-871366AD-2395FA5E-B82A9E48-94EC01A4-D5A11EEF-27482632-1022FEB2-F2BCB676-66AF9482-15D507FA-0B9B679F-575F221E-85DB2E64-71B7FB6C-7179D66D-B350D4DE-33FEF363-E32B0CD3-3E89C61C-FD18C6C5-ADB57740-22446EAE-9E083CDD-D80C616B-4E852B4B-02C1EFB2-68A0832C-48A0FCC7-9DE2FAC4-A32A093D-B3DABEB5-25382839-37C1DF87-0AD4"
"AA555A0000000101","","2016-01-10 21:14:14.095Z", 237119531, 868300000,1, 1,"CRC_BAD", 91,"LORA",125000,"SF7"   ,"1/2",-115,-11.5,"1B050AEF-62A50607-102005AF-070EE39A-AD643B5C-48C4CE17-0AACF538-360E4979-6B4BDD6B-727C092A-809895BC-ED74C66D-D79E47F8-A4A9785C-32CD2239-26EBF1AA-EDF112BE-B8A58582-1DA8EB3E-49A303E6-2C1B4970-F0C0054C-B4CFAA"
"AA555A0000000101","","2016-01-10 21:14:27.670Z", 250690739, 867600000,0, 3,"CRC_BAD",152,"LORA",125000,"SF7"   ,"4/7",-115,-12.0,"6857989D-902287A0-0D351DE2-1D77400F-BC540B09-91204C4D-8E2DD81D-B8422857-2DF31BDC-7CBFE890-F3FBB12C-C6060B13-9E697959-20F70FF6-5F95E082-862CE03E-A0817378-62E4BFF3-446B424F-EFF3561D-848BB31D-C1F1023F-3B98EB4D-128D506A-7B24C6E3-2A82E858-237A7105-7014A8FF-1B4D9AF0-6A69B9E6-3B10FD76-D3B711E8-F9E0E18D-2B3F8930-5E90518B-B2BBCBE9-75291D97-2A08BB88"
"AA555A0000000101","","2016-01-10 21:15:02.454Z", 285474019, 868000000,0, 0,"CRC_BAD", 30,"LORA",125000,"SF7"   ,"1/2",-113,-12.2,"ACEE5C43-272DD386-6DAA2BD9-8BCB48EE-9838ED2E-4E9AB16B-1D2E607A-F71B"
"AA555A0000000101","","2016-01-10 21:15:11.318Z", 294338291, 867800000,0, 4,"CRC_BAD",174,"LORA",125000,"SF7"   ,"1/2",-113,-10.8,"4CBD2862-F93DBA94-F7EC8A72-8873005E-3DB48266-ADA6854F-E49238FD-814DD53E-65536894-A3CCCAF1-55B5C2AF-22CA9284-2A077767-924B2262-4ED2C66D-F013479E-5AE274B3-56D7BF2E-FC12000B-49401AAB-33518483-8D5DD7D5-C7A373D5-FDC56DC8-F5C9A311-2FC33DCB-8A702465-EB4CA971-1231D88E-AD1DB558-E5DE3A0E-397AD6C9-072EC825-ED0480F1-11630E8A-891FEF5A-710DE32C-E9B9FB4D-C75A1B00-5F706A58-BBF0A77A-75CDC375-00A07DB2-F6F1"
