"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2016-01-10 13:17:32.514Z", 119086308, 868400000,0, 7,"CRC_BAD",162,"LORA",125000,"SF7"   ,"2/3",-121,-11.2,"DC3AA909-2BDA4EC8-0E3C4C06-75BB12B5-8FE430D6-7B8BD77C-A0052142-3E22D805-6524A84C-92ACD2C1-41AD6C6A-176ABCC4-9BA75B25-C94B0A55-5BD887A5-75A67C15-E548694A-6E59A37C-DB2940CC-1CBC6B44-A41C9F14-0C35F3D2-31B2BED2-C1F4A31D-E69A9204-C94B0D5E-6E27D4FA-4C52506C-6195CAE0-3E18BFB6-9EE121CC-7CCBC38A-800A3C2C-EE3A2B10-CE0BF77D-CEBB97F8-0F39C62C-0580356F-5E98442E-4DDD6E1A-D08B"
"AA555A0000000101","","2016-01-10 13:17:50.688Z", 137253776, 868300000,1, 8,"CRC_BAD",102,"LORA",250000,"SF7"   ,"1/2",-116,-11.5,"DD51FCFF-EF729745-6B996F2F-DBC1DF16-F83896E3-0ED6677C-5169A9CA-F9FA1055-5DF7DDA9-45EFC072-EE30ED31-C3476407-4C4915F9-6C8B6D05-A20B8A9B-5AAE089F-6819DD1B-9ED7A44A-24BC8522-6ADCF943-44F11AB7-9BEB7E57-C2AB45CE-A39F689E-3055CA01-85B4"
"AA555A0000000101","","2016-01-10 13:18:21.179Z", 167746972, 867600000,0, 3,"CRC_BAD",228,"LORA",125000,"SF8"   ,"1/2",-119,-14.0,"E033259A-345FCCEB-889350C3-D1456668-518A8415-796C964C-1E393659-2DAB244E-92458293-39B46870-267858A1-8FECBDAC-3576DF27-D463A6C6-2725CF03-F24336C7-34424850-48BD51E1-6B9756D3-5BE9BA0A-CE14DCDA-5EFE182B-3620DF02-94D42F9B-93A891D7-BA5F6572-C486D672-482C3DE6-7D98A5AC-B05B6E9B-0F8A9474-1A9AA4D0-860F1F1F-609E487B-B919B67E-CCE09063-FB6DE7F6-71B62AB2-C098339A-59D07423-1100FEE3-C1F58EBB-53000543-54551996-DF24FA91-06F61340-151F1514-FA386744-165D5B4F-1F97FB81-7284C160-9597A6CA-C619054F-15D20BB3-5E8EB449-888D03F6-E862855A"
"AA555A0000000101","","2016-01-10 13:18:55.596Z", 202151012, 868000000,0, 5,"CRC_BAD",  6,"LORA",125000,"SF7"   ,"1/2",-115,-10.8,"CE31855F-C2C9"
"AA555A0000000101","","2016-01-10 13:20:08.827Z", 275390836, 868400000,0, 7,"CRC_BAD",225,"LORA",125000,"SF8"   ,"2/3",-121,-14.8,"033D31E3-B5F6836D-39219EDB-B360F287-DBE7FC35-B0CA72A8-D7BDFCF2-EECC8474-890E2A8F-EB195617-313DDB1E-64E12659-D3980FD0-D8E46362-CC432588-502DDB9C-1CDA584E-63F340CA-1139FF6E-4DE60DC8-090156B8-71313870-7C6C9DF7-9900E31E-59F7D0AF-97F6332B-B5D26B1A-7A6F770B-7F23875A-A9E96FCD-7F58DF29-ED8434F1-C60F0A94-0BECE474-8C1C01B4-3AC3EADA-2D86AF37-C436F57D-F89CD1C5-70362609-978F06E0-E3CA981C-F768E3A0-34560D7A-16D4FCA8-E532C73F-BC1CFD9F-D3A50138-D5DADB8B-B53BA9AA-376AEB77-FD37FFFF-60059DE1-7A78D94C-B707C175-47ACDB3B-4C"
"AA555A0000000101","","2016-01-10 13:20:21.860Z", 288426060, 868200000,0, 6,"CRC_BAD",239,"LORA",125000,"SF7"   ,""   ,-114,-11.5,"DA4650F7-6A8408B1-5AA5A3CE-37B8F897-CF9F761C-D8C6DC77-9E4741CA-2F946B86-8AF9DD71-60208CA2-2C0997AB-73A05A07-AA7C2275-AEAE644F-6C62E665-B4241F2D-11FCDF6A-051E9AA3-ADFC2684-3A1CE94D-374F2229-5FA8D16D-D2E79ADC-8BD59C2E-509D305F-05318F5C-6EFDA240-7D77C2B8-ACD1E4DB-551AD559-DA74355A-4AE5528C-BC8A91E3-E530571F-C2A33D45-556E6B52-C30EC486-4F25B10F-A5CBAAC4-DB8A48DD-77C8A682-70E47A75-A78BE0AD-D16CAAFF-F3035F3D-9762D9BF-5C68F75B-81FED417-0A17A777-3A1774B2-F6AD8C8B-CB556B37-F80A7FBB-BDC89D07-3656C924-80B0FB29-2D97E978-992E76D4-BD03394C-0C4F02"
"AA555A0000000101","","2016-01-10 13:22:48.948Z", 435504260, 868000000,0, 5,"CRC_BAD", 97,"LORA",125000,"SF7"   ,""   ,-117,-11.2,"054D4E63-D7F551C8-A56C2C14-EB264C7D-DF807FF7-40746DC1-C85582BC-4882EBEF-14650C39-7687854D-9185168F-5CEE57C4-B8086B8B-3ABB7F4B-D503777A-6032CF12-A2775FCD-30B6B2DF-001D511B-7F264C03-7EB82E88-CB7423B5-D2AE9C61-6C8E7793-E1"
"AA555A0000000101","","2016-01-10 13:23:11.184Z", 457741923, 868300000,1, 1,"CRC_BAD",249,"LORA",125000,"SF7"   ,"1/2",-115,-11.5,"EC0734D7-93AEA663-112A91A3-8F7FF9B1-8CFBDDF1-560387BE-0F525F56-C1B9D626-AE1076C4-43F8555E-7DADF54F-4D17C724-46166AA6-4FCBAC90-CFE244A0-3AE0CFF5-C2EF5F19-29D35C6F-7B10B131-749BCAAB-B990FA41-9A2C1A97-4CDDE13A-EB6F11E6-6CC90835-C429E764-C7C94438-4D60A0A2-5352E956-E3F88012-8B070098-2C329445-C604D58B-F4892002-856C40B2-642AE0FF-F8A6E827-480F7264-550CE556-ABCEDA92-919B98CC-47FDB625-A1ABB4E9-196DF902-42605111-DB7DC502-5FEAD140-57BDFF0B-493151BA-68FA7962-C4A0BB9C-2801B606-D34A17AA-96AA4959-644FB16B-0BB2E9B0-8E393C4F-5E24E6BF-FFDF7445-52CE6DDA-924C7DA7-CE5159BB-34"
