"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2016-01-10 04:17:41.703Z",2089542171, 867800000,0, 4,"CRC_BAD",  4,"LORA",125000,"SF7"   ,"2/3",-118, -9.8,"0D327B51"
"AA555A0000000101","","2016-01-10 04:18:23.324Z",2131160236, 868200000,0, 6,"CRC_BAD",244,"LORA",125000,"SF7"   ,"1/2",-120,-12.0,"BBEE0592-A67EC2BA-BCFFFCED-8C6EF06F-7E0B526B-453D6081-E4D246B0-1B748D57-82371D98-57016074-D7D5E0CF-08651E8D-880C7008-EDD07EEE-8EC7D615-5A07F7E5-82DEDD3A-964DE374-CF09ED38-AA630889-FDFF0315-AE5D9F92-1085D540-E9052CED-6996DBF3-DBCDEFA9-BB67CF68-3A04A257-5B45E942-87493684-0542D15A-B052AA8A-6D087ABA-2B52DCC4-B47D7B24-23F9E5D7-798DCDC8-E99314C2-D7305025-1578C672-21501070-1B8943AD-38E393B1-0FFBB16F-E0915A29-27ED5997-1817D803-25D6D804-6853C8FD-4D6986AB-2D52CADE-B4213C04-465FBE49-67BDC0E6-24E65DA1-B171BE51-55195E7F-AB1C38FF-C001984C-A94F22DF-3BBF7E9D"
"AA555A0000000101","","2016-01-10 04:18:31.085Z",2138921283, 868000000,0, 0,"CRC_BAD", 60,"LORA",125000,"SF7"   ,"1/2",-119,-11.8,"086B3FAB-C25A45F4-37087C82-5338EB16-D7CDCA54-EDE15D84-D407135E-818EBEEF-BDBE34DE-82BA0523-BCF3A37A-1CFDC474-E3FE0904-AA32621A-E698B772"
"AA555A0000000101","","2016-01-10 04:20:58.936Z",2286765252, 868200000,0, 6,"CRC_BAD",184,"LORA",125000,"SF8"   ,"4/7",-119,-13.5,"77F4F13E-3D86F5F0-1CFF5D77-E41B95CC-929ED06D-AF8188A6-489DBC40-6C13150D-12277DDD-15D17F0A-865AC669-3CB53376-D6B88B22-0AC327D6-BD111448-4A71B877-B7D05B60-4D771A81-84E93421-3970537A-D0D8AA8B-6E1B2139-6A1F4BD6-B7FA06C6-25F21A67-2BE5E658-21293608-B3026D17-8AA5F1B7-BB0FDA5C-A8D56D79-AEE90005-CE3CA44C-E7028E70-5E6FD63C-6DF90158-A54EDFED-CB1801E4-8FDCE704-2DA1EE8B-1C70EEF1-00EB8E68-44663A3C-FF7E980A-7778CD72-583FA060"
"AA555A0000000101","","2016-01-10 04:20:59.132Z",2286964688, 868300000,1, 8,"CRC_BAD",211,"LORA",250000,"SF7"   ,"4/5",-118,-11.2,"110AFD55-A44B2EF2-89A62EDD-FCBAE43C-3EE695C8-672731DD-147EAA1C-7B046C60-8EB2713A-A9806460-35960FA6-B0E8C479-EE1E3E4D-17A5C8E4-AB5D3C8B-353437BC-E68A7E93-F17105BB-00330ACA-32B9DE2B-F5D25B8B-A50345EE-60271D0E-C28B604E-A244E312-B1ACE4AC-9D1FAA37-0B678A11-7C702EC4-0E943040-F4F711F7-B32237A0-B4FD4F45-BB71D48F-594FA15C-9CC103DA-1D3BE0A8-903F2D93-837E205E-1AAC6BA7-83E3DB83-9AA5FDDF-9B0D6048-1209F4A1-3998183D-75F7DF3E-5F5B71C0-2D13822F-86C7C8FB-5F230CA2-F1E133E9-9A933066-80AF17"
"AA555A0000000101","","2016-01-10 04:22:37.751Z",2385577144, 868300000,1, 8,"CRC_BAD",181,"LORA",250000,"SF7"   ,""   ,-116,-12.2,"189D0254-72E7B18F-DEB4286B-93414D42-37822E33-6468A25D-0337F207-46138031-6E48CE0B-5AECFF28-3D129DD6-6DF2CA07-8D09AEED-17CEF2C2-136E3F4F-A536F1CF-3053F698-09C0D5E4-B1AE26B0-957B8736-9C5BE6C0-30F6D5A4-D8D9847F-A2A08BE0-1AAF834B-5A4DC204-3DB42D8B-AE58B90F-3FA816FA-EE6EAAAF-6792D80F-90F2AD36-CC485FD2-46C1BBA3-E2CA3F4E-1F8EFB95-DDF851BF-1C8526BC-004BE224-93CC6913-B446B9D5-48BECAC2-1C3893BD-15F48B42-BA291515-27"
"AA555A0000000101","","2016-01-10 04:23:49.118Z",2456939788, 868200000,0, 6,"CRC_BAD",  2,"LORA",125000,"SF7"   ,""   ,-118, -7.0,"2D6E"
"AA555A0000000101","","2016-01-10 04:25:54.365Z",2582181291, 867600000,0, 3,"CRC_BAD", 56,"LORA",125000,"SF7"   ,"1/2",-120,-11.8,"93CEBC6F-AE469992-A635DABA-14E6FC9D-FB96BA5F-CDAA77A6-1E09C265-AC6D7AE4-D3B170D1-18A526A0-6E2DFC45-5BDDC548-C1F94634-C018A3D7"
"AA555A0000000101","","2016-01-10 04:26:42.064Z",2629874787, 867600000,0, 3,"CRC_BAD",116,"LORA",125000,"SF7"   ,"4/7",-118,-11.2,"E93DA65B-0E50E6F1-8A4F2C61-BD860331-1F7B9F16-B7B9985D-033A22AF-614F11E7-8F7385E2-AB750A6D-92EE162E-66DCA186-19A5B141-8927A40E-0EFF8EC2-24C8C2AC-31FAB8D1-82CE877D-2130B089-5C3EBC8D-2D49F162-9782C7DF-CE102083-1D536D83-EE47F804-9669EA0F-8394579C-09B70628-5F778B82"
"AA555A0000000101","","2016-01-10 04:27:45.354Z",2693165083, 867600000,0, 3,"CRC_BAD",254,"LORA",125000,"SF7"   ,"1/2",-118,-11.5,"6CF4196B-E8058071-DD03DB5F-34F8FCDA-B9289F2A-CE5B8A4E-9F9D392E-401220D3-75902CAD-F41C6080-34F74634-F925ECF8-45472313-C9610E87-8250E821-19B80709-DAB9E83B-EBBEE558-4D81F6A0-AD0CD8CB-A9DEBCD1-ECB05583-2C9A27B7-AFF58779-78711255-4E749C9F-08F546FA-DAEF1C33-0B2FB772-B4679D50-49F39FF8-9A24D796-699E08E9-B53448D6-04CF187E-1A7CF196-42E14298-A99988CA-9606D1A7-C3937ED4-092EADE3-A61E05D7-B2656E8A-5CBF63F8-DB369A0D-98E6F3B6-5E1ACEEB-3C270DD6-DFDFFB57-793E15CE-28461E19-64C6068D-A4F4F8BF-BC951817-19DE5671-607C5302-E649D6BD-0D51462E-FFED1D66-3A47014A-63DFCD03-93480DD7-3E50AFDA-9958"
"AA555A0000000101","","2016-01-10 04:32:11.186Z",2958983491, 868500000,1, 2,"CRC_BAD",108,"LORA",125000,"SF7"   ,"4/7",-118,-12.2,"C20148B6-4588B1D6-10EE3AF8-555F9EA0-A81E3D64-2A447AA6-BB3BE7CD-AB93D380-8F03FED0-E72E45F2-57D4801F-B8991A95-968BD91F-259237B0-B8514B94-D10537E6-98E21D7A-653EF90E-66A0F003-D75F9F5A-AEC3D435-2D0B7BE2-E64BCC3E-8345AC3F-196A9501-00AF2E75-7757EEA2"
"AA555A0000000101","","2016-01-10 04:37:14.105Z",3261886419, 867600000,0, 3,"CRC_BAD",252,"LORA",125000,"SF7"   ,"4/5",-119,-11.5,"8EFDABA9-466DFC36-47793CD9-5BB25E63-EA0DCB9A-285DAFD3-A94ABFEA-403325B0-B5E15571-CE0C819C-BC42EC68-BEFF700E-CFBB988E-9F230633-64DD6614-8CE61990-5E8CEC89-B0CCE248-E1909B43-D0CECF97-E75F80AC-5F47930A-0BA3BE79-A33CA2F8-1D4FE248-CEC92E6B-B4F3AC10-4427BE7E-90F60582-63E85F16-795AF2E5-BBB22B7B-DBDF66AD-32C9620C-41E491E5-91A0D543-D1E70262-4F4859CA-EE8FDC61-D6C77E7E-A6183099-E4FFA9E5-C22DEA6B-6D88BCA1-31C3EF30-FF928DA9-E7E4C347-B8FEFA56-5B639F1B-3262F565-631E97E7-08AE9433-3B556C1E-A43832DB-D937F288-685EB7FE-082D3031-ABF1F40D-84C29EF6-C7D0EF21-D8C754B0-203BA782-1324752B"
"AA555A0000000101","","2016-01-10 04:38:59.287Z",3367065643, 868000000,0, 0,"CRC_BAD", 21,"LORA",125000,"SF7"   ,"2/3",-117,-11.8,"E829758E-EA0CD5A3-5604DBC0-C04CC165-D0871113-CD"
"AA555A0000000101","","2016-01-10 04:39:08.879Z",3376656627, 867600000,0, 3,"CRC_BAD", 38,"LORA",125000,"SF7"   ,"4/5",-119,-11.2,"BAFBCE8A-1C07481E-9890C2D7-B3705413-5BED9558-09824C10-A48DC062-60576E08-C5725C31-6946"
"AA555A0000000101","","2016-01-10 04:39:23.189Z",3390967483, 868000000,0, 0,"CRC_BAD", 87,"LORA",125000,"SF7"   ,""   ,-118,-10.5,"D5764520-F9C5525D-1874AA55-67D27439-92E09C01-5E46D882-C888E0A6-22A9A59B-65E08CF1-CE16A32E-93AFCB4C-98BC7BAE-9CACEA4E-8E98B6A4-7B6E2D6F-B4D8867E-297D5CD0-F30DC1A8-3D1B3875-E0B53C0B-77A5B7F9-B4CC71"
"AA555A0000000101","","2016-01-10 04:39:42.020Z",3409795740, 868000000,0, 5,"CRC_BAD",116,"LORA",125000,"SF8"   ,"4/5",-118,-14.0,"BEF3AD80-028904C3-97DCDECC-0087A4A9-B4787A2D-6BEBF368-D830D9DD-225D0E11-8F247477-666C90B1-1A54833D-756E78AF-19164080-8FFC42E5-A7835702-06B4B523-195F27DF-C485DDB3-50691C3F-AD0B9C35-07246659-EF3E69F7-A6B199E7-626CE05D-A374DBB7-CB68985E-A467F620-F6F9A702-8A60F023"
"AA555A0000000101","","2016-01-10 04:40:39.723Z",3467495836, 868500000,1, 2,"CRC_BAD",152,"LORA",125000,"SF8"   ,"1/2",-119,-14.0,"FEB1D2C0-18201891-DAD025D3-2FDC32E6-375672E4-6BA93F35-82BF4742-B7E785F3-CD4A8005-FC844962-C14523C5-109E30D6-D8DD422E-3079A76F-D0738C89-CB9DF3CF-383C4A05-A764D497-C00B6EB0-CA574C26-341EDE40-5FA54E6C-5942B63B-DF514A98-6A0A5D69-29991D39-D806560E-1566C446-9813E1E7-813B26F9-3F3567EB-D415F1A9-25CA4C71-4D6DF176-D2D9E316-D298C02B-F15FACAE-655A3027"
"AA555A0000000101","","2016-01-10 04:41:57.540Z",3545309644, 868200000,0, 6,"CRC_BAD",101,"LORA",125000,"SF7"   ,""   ,-119,-11.5,"7740427A-D3C3503C-FED52670-18438D85-811CFFDC-9CE530BE-B430D1AD-81B3BFA5-1CA7A244-AC7550B1-F59A6C28-4920069F-48D150A7-A08AFD05-6BF6BEC0-3A245F0A-E2681EF4-3D05C0F4-0CD2E843-38102C0F-352F0DA7-FECF8268-ECA9B0FB-5E3727D4-483A27AD-82"
"AA555A0000000101","","2016-01-10 04:43:13.371Z",3621137555, 868300000,1, 1,"CRC_BAD",200,"LORA",125000,"SF7"   ,"2/3",-118,-11.8,"D9F9EA83-A1567E0E-2E0758A8-74898240-7B933B67-7A08D41F-3B4343D7-8D67B0CE-2ED1397C-20085750-924BE9ED-62B1EEBD-4D7B3D8C-1038E9F4-81CA3A54-ACC661AB-59CB8E7C-551DDAFB-414737D8-693E43C4-66A85ACE-0817C13A-280041B7-7E50063E-75C67723-422E1793-D965B8B7-33549424-4E593890-1A1F06A0-9CE9F7B4-3320592B-E3EE93E6-9787D872-A2F85631-5E633D41-BFE8F71C-45B7AB9C-488F5E95-74B8356F-310205BF-CB7E8ECA-8F50EC56-1FE7D9CB-57EA0EC5-FCF0FEB8-C4D8AD1B-A0747F37-448D3DB7-006E6869"
"AA555A0000000101","","2016-01-10 04:44:01.924Z",3669688555, 868300000,1, 1,"CRC_BAD",187,"LORA",125000,"SF7"   ,"4/7",-119,-11.5,"F838CC92-088E7FFA-FD9E3B6E-F708C51A-F3BF47C3-64CDE9E0-1F8C9274-E66DF8BB-F157FC03-C178A734-B24C552A-9B65482C-EF7A97F7-5A7B7748-CF07CA09-E2B05DFA-DF70439E-CDF9BA2D-A80C3CC3-9A9BE26B-3ADCEEEB-0BD34FA7-9C75B37A-80BD3100-79ABA816-BE6E5A9E-D628E294-8540EB8F-414F6808-BC48481C-48B3DFDE-1511D8E3-C78B0F5A-B74FBF44-27168243-B7CFA20E-EF0B3076-8B1A64AD-008E28E5-37F6B5B1-A13C5D97-8350AA23-56E1840A-7D70C807-4E4E8971-2F6A4561-B2F297"
"AA555A0000000101","","2016-01-10 04:44:13.089Z",3680855584, 868300000,1, 8,"CRC_BAD", 17,"LORA",250000,"SF7"   ,"1/2",-116,-12.2,"FDB05AC0-29196674-D395B4EF-DBA6530D-A7"
"AA555A0000000101","","2016-01-10 04:44:54.233Z",3721991588, 868000000,0, 0,"CRC_BAD", 93,"LORA",125000,"SF8"   ,"4/5",-118,-13.8,"2DB06A2B-FA997260-77CAF7B6-45CDCC01-D5701186-A9B0E330-2AD9D049-2A475C35-A52E0B11-B57CA614-7D0B8CE8-BED3851F-81D6E3D1-7BA7484C-3CA2D079-95D70826-B1D65D04-3AF33005-C3CB1718-1EEC9C4C-9CFECEAA-4FA0639D-E8EABF8B-0A"
"AA555A0000000101","","2016-01-10 04:46:43.667Z",3831423644, 868000000,0, 0,"CRC_BAD", 94,"LORA",125000,"SF8"   ,""   ,-119,-14.5,"2A694984-1E686928-DA5AEACF-0849D668-DC271A86-C8B80B7E-6084C221-6153618D-E4F4F141-E0FF7018-0DBB0F2C-F05DCE95-419FD00A-47928920-1CA5F9E9-BB77C6FF-F3B720B9-28AFC983-1CA90957-6FE402B8-4987D0C4-1B26FC06-9589B536-C781"
"AA555A0000000101","","2016-01-10 04:47:13.929Z",3861682443, 867800000,0, 4,"CRC_BAD",165,"LORA",125000,"SF7"   ,"4/7",-119,-11.2,"EDC55AC3-22C4D1A9-AA564164-F22002DB-668A223E-A5B1C093-C8C2C046-4D4F5A1D-C87776C6-8100A756-BF1CA7A1-59913BB3-39D5A7D8-705BCA1D-A23359FF-D17A1DBD-63C04EBD-6F04BA24-804776B4-2325013B-4C03E27F-D6F579ED-08C1025E-73709982-A71401C5-2BC7C9B2-52F6E35C-C8C3EFBD-7330F72B-34DDFBCE-84E4623C-B94E1D94-5C00DB7F-CBCA2B7F-70E76E15-4EF7B7E0-75CE5D16-937F0D05-20C28C88-9A903A3F-AF1D39F0-52"
"AA555A0000000101","","2016-01-10 04:51:23.648Z",4111394156, 868200000,0, 6,"CRC_BAD",  9,"LORA",125000,"SF7"   ,"2/3",-119,-10.5,"E2ADAD1F-4A8724D5-A9"
"AA555A0000000101","","2016-01-10 04:55:33.174Z",  65936435, 868000000,0, 0,"CRC_BAD", 50,"LORA",125000,"SF7"   ,""   ,-119,-12.2,"27586B6A-C1042EF3-B39CBA6A-DFC1F07E-192C7C47-DEA70620-858D2E4D-C03481EA-5FC2B472-EC809F61-02605ED9-7415914D-F528"
"AA555A0000000101","","2016-01-10 04:56:14.877Z", 107638835, 868500000,1, 2,"CRC_BAD",  3,"LORA",125000,"SF7"   ,"4/7",-119, -8.5,"31CEE3"
