"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
"AA555A0000000101","","2016-01-09 08:17:52.487Z",3118162756, 868200000,0, 6,"CRC_BAD",181,"LORA",125000,"SF7"   ,"4/7",-118,-11.5,"8F75C471-FB2A1CB7-8328E651-04D5FECB-FFA2F2C1-30146FE2-BD1216EF-06E980AB-74381C47-2034782F-2947A1BA-7B338A75-B2BA286D-B7DDF8D7-C124E720-4A064A25-B213FD99-60F160D1-5E0B1175-820E5993-E2B213B9-C2C165D7-1FC779E4-81C78090-D6D0BAE2-EB1391DC-8D3448F2-A8ECD546-1A7648FB-3CC5D752-4A42CB11-016AA149-C8CDA84C-81AE94BB-41BDB59F-5A082EC3-A745299F-E9D440D5-134F8B83-4C266ED5-8C94C801-E162E45B-20F539C8-88EAB01E-1F6DD195-15"
"AA555A0000000101","","2016-01-09 08:19:18.003Z",3203675748, 868500000,1, 2,"CRC_BAD",150,"LORA",125000,"SF8"   ,"2/3",-119,-14.0,"774B9F4F-2C0A4EA2-6DDA767B-C913281D-0D502646-CA86C537-7B2EC20C-995D9D06-27265DD8-0CB66B25-514539FE-7B6EA67E-81E1240F-877A41CA-52AAC5B6-E50428E0-BB193F98-DE64238A-5F5B6496-BB4532C5-F72B05F5-9EAE096C-BA46E115-DDF900B0-FB82E8C1-E30851E4-FC129E83-2687DF83-71875331-BF1C9CFF-03B36274-2A38B0E7-6B85310C-3E9BCB79-0CDF9668-3F1324E2-D663C680-BCA0"
"AA555A0000000101","","2016-01-09 08:24:26.490Z",3512147771, 868000000,0, 0,"CRC_BAD",172,"LORA",125000,"SF7"   ,""   ,-115,-11.2,"E78B8BCA-CFF978A5-CCFA231D-3468C4C0-545339A1-A8F238F4-D3A0E073-16A1C6E5-24AEC3C4-3B4789C3-B86E155F-1C000624-424F550E-EA35FDC2-AB9BC9D7-9869029C-1F9E6BA5-12DDCC52-B8FA961B-5EEB59C4-A16DF0AD-DED32B38-84CE4713-6D0B6018-5AAD3F66-AA517E1B-472FAC6E-EFEB9A63-2871E90C-7871B965-08504DC1-F9EF28B6-9129C817-88E26DC9-BB61AAEB-EDF4A348-ACCFFBE5-BC6E9262-A94D3BA9-7F39C2CD-63146E66-0AA86C01-374194CC"
"AA555A0000000101","","2016-01-09 08:24:34.490Z",3520150188, 868300000,1, 8,"CRC_BAD",250,"LORA",250000,"SF7"   ,"2/3",-116,-11.8,"FC37E8F3-3BDA1660-D509270E-B50AA287-0D499232-90F810AB-760CBF92-F9166EF3-F8192C33-F276A123-9007766D-899CA477-3E5B6C87-D925C7C4-7EDDD506-3936478C-328A881B-43E304F9-66A38678-996E3683-7F0065CB-30D5B4A8-257D0E35-9797C048-4F019FC9-B429E177-B7AB0BD6-1D73026C-63AEC8BC-AA819FD8-6AD00C85-81E2B631-D22E4598-F68B0E79-DECC6FC4-48F07138-45BDFCF4-50553C02-E7F923A1-B46F5DB7-A8E2DB5F-22758525-5CF513FE-E1831AC6-C565B6E4-BFB900EC-C1575405-6F2572C5-7BACFA36-4CCCA8CF-2DFA76C6-ECB8BCFF-C9B3869B-CB3D4F8C-0EF965A1-A072E782-2EA0C18B-397E3061-4F9B55C3-8910DC26-CBDEBA1E-D07360FB-2D5B"
"AA555A0000000101","","2016-01-09 08:25:22.156Z",3567813292, 868000000,0, 5,"CRC_BAD", 81,"LORA",125000,"SF7"   ,"4/5",-115,-11.5,"876E857E-0797D011-301C8A04-6F129799-A3A159F7-4BFDA2C8-AC527040-A0BC3847-4F2D765C-E881BB37-C5F2EA9F-8C19E434-030308B4-EF07050A-120EFF63-B5445DEE-B05A0983-BFE46A15-75C589BD-4F2CC8F2-F7"
"AA555A0000000101","","2016-01-09 08:25:25.532Z",3571188539, 868500000,1, 2,"CRC_BAD", 93,"LORA",125000,"SF7"   ,"4/7",-118,-12.0,"A653648E-6A475650-0286F2A9-D91F45F1-E4B69EEB-1E30E08A-C3D7B450-8C618CBB-8DEF1AD6-98578576-DFD441E3-77BA61A3-B4FC64A2-01752F25-96C03F34-31E7FED8-6534A0AD-D8A8CBA4-431F9A9D-A1662F52-076ECE56-BA0FF149-78D98EFD-C0"
"AA555A0000000101","","2016-01-09 08:25:36.289Z",3581943108, 868400000,0, 7,"CRC_BAD",213,"LORA",125000,"SF8"   ,""   ,-121,-13.8,"D471C996-2A3871B4-3F340D0A-AA7D42D2-A82F42FC-6AC0BF77-EAA3CBB4-0422025C-1D461EE0-0A2CCC76-CCA8349D-FDF13B55-CF2E818C-8A0953CA-830BC931-6F11D8C3-D76EDA5F-A7654008-8A267ED3-D74BB338-A7B1BCF9-F84C9427-FAC75988-CE63A50F-8E39A19F-6F4D47E1-42A369E3-1E01B057-9AA9FE9A-3FCA1CB7-68DE9C92-5188CC2B-266FD070-695D1DF4-F7149F25-D2675E0C-106B0937-28D270D7-C611A20D-5EBE6BD8-F4B30FEB-EB973AB4-5CDEC66C-82CAA0C4-1F4304B7-D9F77413-2EFE9CB7-D6FCAF17-4A925C8B-7DDC8640-3E7A5E5A-0C08BB9D-42996528-8B"
"AA555A0000000101","","2016-01-09 08:27:28.783Z",3694432619, 867800000,0, 4,"CRC_BAD", 89,"LORA",125000,"SF7"   ,"4/7",-115,-11.0,"0F2CEF80-CAE466B3-D9BB2133-63588B64-22AA1900-46C15B01-24D9D242-48738508-33A22DB9-D258D678-8B911C71-DDB5757A-D0B2C294-892D98FE-ADB12751-391847A4-671678DF-F8A4CA09-5541B3AE-5B3819B8-E18049C5-EA607B30-E1"
"AA555A0000000101","","2016-01-09 08:27:30.173Z",3695821531, 868300000,1, 1,"CRC_BAD", 36,"LORA",125000,"SF7"   ,"4/5",-119,-11.2,"76121F60-E5061162-5FA64873-CD25FFAB-80DFD5D9-7D9704D8-CA6E7E2A-E2C2D4D0-E196E897"
"AA555A0000000101","","2016-01-09 08:30:33.823Z",3879463708, 868300000,1, 8,"CRC_BAD", 59,"LORA",250000,"SF7"   ,"4/5",-116,-11.2,"BA72EA66-C9D42ABE-380DE257-0007A1AA-EABF9FEE-288A7DD5-20524598-C1DF03B2-BC3EE062-9308F659-75009978-4B2C7CBE-8D21D82E-CE4BF8E9-D602BD"
